STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1617,ALL_RATE_1617,MAM_COHORT_1617,MAM_RATE_1617,MAS_COHORT_1617,MAS_RATE_1617,MBL_COHORT_1617,MBL_RATE_1617,MHI_COHORT_1617,MHI_RATE_1617,MTR_COHORT_1617,MTR_RATE_1617,MWH_COHORT_1617,MWH_RATE_1617,CWD_COHORT_1617,CWD_RATE_1617,ECD_COHORT_1617,ECD_RATE_1617,LEP_COHORT_1617,LEP_RATE_1617,DATE_CUR
ALABAMA,01,0100180,AL-109,Attalla City,193,85-89,,,,,21,GE80,14,GE50,14,GE50,144,85-89,,,,,,,17AUG18
ALABAMA,01,0100185,AL-187,Saraland City,233,94,,,1,PS,35,GE90,3,PS,1,PS,189,90-94,,,,,,,17AUG18
ALABAMA,01,0100188,AL-121,Chickasaw City,54,80-89,,,,,44,80-89,1,PS,,,9,GE50,,,,,,,17AUG18
ALABAMA,01,0100189,AL-196,Satsuma City,115,GE95,,,,,9,GE50,2,PS,1,PS,100,GE95,,,,,,,17AUG18
ALABAMA,01,0100190,AL-103,Alabaster City,442,96,,,7,GE50,90,GE95,57,GE90,6,GE50,279,GE95,,,,,,,17AUG18
ALABAMA,01,0100194,AL-177,Pelham City,232,92,,,3,PS,34,GE90,62,85-89,1,PS,130,90-94,,,,,,,17AUG18
ALABAMA,01,0100210,AL-110,Auburn City,617,95,,,84,GE95,135,90-94,25,GE80,2,PS,371,97,,,,,,,17AUG18
ALABAMA,01,0100240,AL-001,Autauga County,660,90,,,18,GE80,178,85-89,15,GE50,2,PS,447,91,,,,,,,17AUG18
ALABAMA,01,0100270,AL-002,Baldwin County,2217,86,12,GE50,20,GE80,313,83,127,85-89,93,GE95,1652,86,369,69,848,75,15,LT50,17AUG18
ALABAMA,01,0100300,AL-003,Barbour County,53,80-89,,,,,53,80-89,,,,,,,,,,,,,17AUG18
ALABAMA,01,0100330,AL-113,Bessemer City,277,73,,,1,PS,249,70-74,14,GE50,,,13,LT50,,,,,,,17AUG18
ALABAMA,01,0100360,AL-004,Bibb County,271,84,,,,,68,90-94,8,GE50,,,195,80-84,,,,,,,17AUG18
ALABAMA,01,0100390,AL-114,Birmingham City,1779,77,,,1,PS,1659,78,70,70-74,10,GE50,15,LT50,,,,,,,17AUG18
ALABAMA,01,0100420,AL-005,Blount County,588,93,,,,,11,GE50,77,GE95,3,PS,492,92,,,,,,,17AUG18
ALABAMA,01,0100450,AL-116,Brewton City,88,GE95,,,,,26,GE80,,,,,61,GE95,,,,,,,17AUG18
ALABAMA,01,0100480,AL-006,Bullock County,121,70-74,,,,,110,70-74,10,GE50,,,1,PS,,,,,,,17AUG18
ALABAMA,01,0100510,AL-007,Butler County,239,82,,,1,PS,154,80-84,1,PS,2,PS,80,75-79,,,,,,,17AUG18
ALABAMA,01,0100540,AL-008,Calhoun County,732,92,,,3,PS,106,90-94,19,GE80,,,600,92,,,,,,,17AUG18
ALABAMA,01,0100600,AL-009,Chambers County,264,86,,,2,PS,129,90-94,5,PS,1,PS,127,80-84,,,,,,,17AUG18
ALABAMA,01,0100630,AL-010,Cherokee County,314,95,,,1,PS,20,GE80,1,PS,1,PS,242,GE95,,,,,,,17AUG18
ALABAMA,01,0100660,AL-011,Chilton County,602,88,,,3,PS,64,85-89,64,80-84,2,PS,469,89,,,,,,,17AUG18
ALABAMA,01,0100690,AL-012,Choctaw County,117,75-79,,,,,85,75-79,,,,,32,80-89,,,,,,,17AUG18
ALABAMA,01,0100720,AL-013,Clarke County,260,90,,,,,182,90-94,1,PS,,,77,80-84,,,,,,,17AUG18
ALABAMA,01,0100750,AL-014,Clay County,157,90-94,,,,,27,GE80,14,GE50,1,PS,115,85-89,,,,,,,17AUG18
ALABAMA,01,0100780,AL-015,Cleburne County,203,98,,,,,10,GE50,5,PS,,,188,GE95,,,,,,,17AUG18
ALABAMA,01,0100810,AL-016,Coffee County,173,GE95,,,,,13,GE50,3,PS,4,PS,149,GE95,,,,,,,17AUG18
ALABAMA,01,0100840,AL-017,Colbert County,185,85-89,,,,,19,GE80,1,PS,,,162,85-89,,,,,,,17AUG18
ALABAMA,01,0100870,AL-018,Conecuh County,107,80-84,,,,,89,85-89,1,PS,,,17,21-39,,,,,,,17AUG18
ALABAMA,01,0100900,AL-019,Coosa County,81,80-84,,,,,36,80-89,1,PS,2,PS,42,70-79,,,,,,,17AUG18
ALABAMA,01,0100930,AL-020,Covington County,216,94,,,,,12,GE50,2,PS,2,PS,200,90-94,,,,,,,17AUG18
ALABAMA,01,0100960,AL-021,Crenshaw County,174,85-89,,,1,PS,38,GE90,2,PS,1,PS,132,85-89,,,,,,,17AUG18
ALABAMA,01,0100990,AL-125,Cullman City,217,93,,,3,PS,2,PS,9,GE50,1,PS,201,90-94,,,,,,,17AUG18
ALABAMA,01,0101020,AL-022,Cullman County,764,90,,,3,PS,8,GE50,43,GE90,18,GE80,688,90,,,,,,,17AUG18
ALABAMA,01,0101050,AL-023,Dale County,248,94,,,1,PS,35,GE90,1,PS,4,PS,207,90-94,,,,,,,17AUG18
ALABAMA,01,0101080,AL-126,Daleville City,105,80-84,,,4,PS,33,GE90,11,GE50,1,PS,55,70-79,,,,,,,17AUG18
ALABAMA,01,0101110,AL-024,Dallas County,276,88,,,,,214,85-89,,,1,PS,61,85-89,,,,,,,17AUG18
ALABAMA,01,0101140,AL-025,Dekalb County,610,91,,,,,7,GE50,137,90-94,1,PS,377,90,,,,,,,17AUG18
ALABAMA,01,0101170,AL-127,Decatur City,586,87,,,5,PS,210,85-89,103,80-84,7,GE50,259,85-89,,,,,,,17AUG18
ALABAMA,01,0101200,AL-128,Demopolis City,153,85-89,,,3,PS,64,85-89,5,PS,2,PS,78,85-89,,,,,,,17AUG18
ALABAMA,01,0101230,AL-130,Dothan City,646,89,,,5,PS,360,88,32,80-89,3,PS,246,90-94,,,,,,,17AUG18
ALABAMA,01,0101260,AL-131,Elba City,50,GE90,,,,,25,GE80,2,PS,2,PS,20,GE80,,,,,,,17AUG18
ALABAMA,01,0101290,AL-026,Elmore County,765,87,,,4,PS,196,80-84,21,60-79,15,GE50,526,89,,,,,,,17AUG18
ALABAMA,01,0101320,AL-132,Enterprise City,512,91,,,13,GE50,114,85-89,38,GE90,17,GE80,324,92,,,,,,,17AUG18
ALABAMA,01,0101350,AL-027,Escambia County,297,85,,,,,134,80-84,3,PS,5,PS,136,85-89,,,,,,,17AUG18
ALABAMA,01,0101380,AL-028,Etowah County,655,92,,,4,PS,13,GE50,17,GE80,2,PS,618,92,,,,,,,17AUG18
ALABAMA,01,0101410,AL-133,Eufaula City,259,80,,,1,PS,125,80-84,22,21-39,3,PS,108,85-89,,,,,,,17AUG18
ALABAMA,01,0101440,AL-137,Fairfield City,134,85-89,,,,,132,85-89,1,PS,,,1,PS,,,,,,,17AUG18
ALABAMA,01,0101470,AL-029,Fayette County,183,90-94,,,,,29,GE80,1,PS,1,PS,152,90-94,,,,,,,17AUG18
ALABAMA,01,0101530,AL-141,Florence City,345,95,,,6,GE50,102,GE95,26,GE80,22,GE80,189,90-94,,,,,,,17AUG18
ALABAMA,01,0101560,AL-143,Fort Payne City,203,97,,,1,PS,11,GE50,60,GE90,2,PS,129,GE95,,,,,,,17AUG18
ALABAMA,01,0101590,AL-030,Franklin County,212,90,,,1,PS,4,PS,18,GE80,2,PS,187,85-89,,,,,,,17AUG18
ALABAMA,01,0101620,AL-144,Gadsden City,365,88,,,1,PS,188,90-94,31,80-89,1,PS,143,85-89,,,,,,,17AUG18
ALABAMA,01,0101640,AL-146,Geneva City,82,90-94,,,,,12,GE50,1,PS,1,PS,68,90-94,,,,,,,17AUG18
ALABAMA,01,0101660,AL-031,Geneva County,196,85-89,,,,,27,GE80,12,GE50,1,PS,156,90-94,,,,,,,17AUG18
ALABAMA,01,0101680,AL-032,Greene County,89,75-79,,,1,PS,87,75-79,,,1,PS,,,,,,,,,17AUG18
ALABAMA,01,0101690,AL-154,Guntersville City,151,90-94,,,2,PS,10,GE50,10,GE50,8,GE50,121,90-94,,,,,,,17AUG18
ALABAMA,01,0101710,AL-033,Hale County,195,90-94,,,,,143,90-94,,,2,PS,50,80-89,,,,,,,17AUG18
ALABAMA,01,0101720,AL-155,Haleyville City,116,90-94,,,,,4,PS,12,GE50,1,PS,98,90-94,,,,,,,17AUG18
ALABAMA,01,0101730,AL-156,Hartselle City,256,93,,,1,PS,15,GE50,5,PS,7,GE50,227,90-94,,,,,,,17AUG18
ALABAMA,01,0101740,AL-034,Henry County,191,GE95,,,1,PS,69,GE95,3,PS,3,PS,115,GE95,,,,,,,17AUG18
ALABAMA,01,0101760,AL-157,Homewood City,272,93,,,8,GE50,68,90-94,35,80-89,10,GE50,151,GE95,,,,,,,17AUG18
ALABAMA,01,0101770,AL-035,Houston County,444,94,,,,,73,90-94,11,GE50,3,PS,356,94,,,,,,,17AUG18
ALABAMA,01,0101800,AL-159,Huntsville City,1630,90,,,41,GE90,637,89,143,80-84,64,GE95,733,91,,,,,,,17AUG18
ALABAMA,01,0101830,AL-036,Jackson County,406,91,,,,,16,GE80,10,GE50,1,PS,331,91,,,,,,,17AUG18
ALABAMA,01,0101860,AL-162,Jacksonville City,106,90-94,,,,,39,GE90,1,PS,,,65,85-89,,,,,,,17AUG18
ALABAMA,01,0101890,AL-163,Jasper City,223,89,,,1,PS,45,80-89,12,GE50,6,GE50,159,90-94,,,,,,,17AUG18
ALABAMA,01,0101920,AL-037,Jefferson County,2862,92,,,16,GE80,1413,93,148,85-89,9,GE50,1271,92,,,,,,,17AUG18
ALABAMA,01,0101950,AL-038,Lamar County,140,90-94,,,,,16,GE80,2,PS,1,PS,121,GE95,,,,,,,17AUG18
ALABAMA,01,0101980,AL-165,Lanett City,63,85-89,,,,,54,GE90,1,PS,,,8,GE50,,,,,,,17AUG18
ALABAMA,01,0102010,AL-039,Lauderdale County,688,94,,,2,PS,23,GE80,14,GE50,,,647,94,,,,,,,17AUG18
ALABAMA,01,0102040,AL-040,Lawrence County,360,88,,,2,PS,40,80-89,8,GE50,1,PS,229,85-89,,,,,,,17AUG18
ALABAMA,01,0102070,AL-041,Lee County,779,87,,,4,PS,211,90-94,26,GE80,23,GE80,513,86,,,,,,,17AUG18
ALABAMA,01,0102100,AL-042,Limestone County,663,94,,,5,PS,63,GE95,51,80-89,9,GE50,532,94,,,,,,,17AUG18
ALABAMA,01,0102130,AL-168,Linden City,50,80-89,,,,,47,80-89,2,PS,1,PS,,,,,,,,,17AUG18
ALABAMA,01,0102160,AL-043,Lowndes County,115,90-94,,,,,113,90-94,,,,,2,PS,,,,,,,17AUG18
ALABAMA,01,0102190,AL-044,Macon County,205,80,,,,,201,80-84,1,PS,,,3,PS,,,,,,,17AUG18
ALABAMA,01,0102220,AL-045,Madison County,1491,94,,,26,GE80,301,97,44,GE90,19,GE80,1021,93,,,,,,,17AUG18
ALABAMA,01,0102250,AL-046,Marengo County,94,GE95,,,,,62,GE95,1,PS,,,31,GE90,,,,,,,17AUG18
ALABAMA,01,0102310,AL-047,Marion County,269,88,,,2,PS,14,GE50,11,GE50,3,PS,239,85-89,,,,,,,17AUG18
ALABAMA,01,0102350,AL-171,Midfield City,89,90-94,,,,,89,90-94,,,,,,,,,,,,,17AUG18
ALABAMA,01,0102370,AL-049,Mobile County,4245,83,,,84,85-89,2177,83,123,85-89,62,85-89,1740,82,,,,,,,17AUG18
ALABAMA,01,0102400,AL-050,Monroe County,259,88,,,1,PS,151,85-89,,,2,PS,102,90-94,,,,,,,17AUG18
ALABAMA,01,0102430,AL-051,Montgomery County,2164,82,,,65,GE95,1804,81,58,70-79,24,GE80,211,80-84,,,,,,,17AUG18
ALABAMA,01,0102480,AL-052,Morgan County,586,92,,,2,PS,11,GE50,30,GE80,4,PS,536,92,,,,,,,17AUG18
ALABAMA,01,0102490,AL-175,Mountain Brook City,375,98,,,1,PS,2,PS,6,GE50,8,GE50,357,98,,,,,,,17AUG18
ALABAMA,01,0102520,AL-176,Muscle Shoals City,218,96,,,6,GE50,35,80-89,4,PS,1,PS,171,GE95,,,,,,,17AUG18
ALABAMA,01,0102550,AL-178,Oneonta City,101,GE95,,,,,7,GE50,20,GE80,1,PS,73,GE95,,,,,,,17AUG18
ALABAMA,01,0102580,AL-179,Opelika City,275,93,,,2,PS,170,90-94,13,GE50,2,PS,86,GE95,,,,,,,17AUG18
ALABAMA,01,0102610,AL-180,Opp City,86,90-94,,,,,21,GE80,1,PS,,,64,GE95,,,,,,,17AUG18
ALABAMA,01,0102635,AL-181,Oxford City,329,94,,,2,PS,90,90-94,29,GE80,8,GE50,200,GE95,,,,,,,17AUG18
ALABAMA,01,0102640,AL-182,Ozark City,153,90-94,,,1,PS,81,85-89,5,PS,2,PS,64,90-94,,,,,,,17AUG18
ALABAMA,01,0102650,AL-183,Pell City,281,92,,,2,PS,46,GE90,7,GE50,2,PS,224,90-94,,,,,,,17AUG18
ALABAMA,01,0102670,AL-053,Perry County,101,90-94,,,,,101,90-94,,,,,,,,,,,,,17AUG18
ALABAMA,01,0102700,AL-184,Phenix City,405,93,,,,,251,90-94,25,GE80,15,GE50,114,90-94,,,,,,,17AUG18
ALABAMA,01,0102730,AL-054,Pickens County,220,96,,,1,PS,137,GE95,2,PS,1,PS,79,GE95,,,,,,,17AUG18
ALABAMA,01,0102760,AL-185,Piedmont City,100,GE95,,,1,PS,12,GE50,3,PS,2,PS,81,GE95,,,,,,,17AUG18
ALABAMA,01,0102790,AL-055,Pike County,163,85-89,,,,,89,85-89,4,PS,,,66,85-89,,,,,,,17AUG18
ALABAMA,01,0102820,AL-056,Randolph County,177,90-94,,,1,PS,23,GE80,10,GE50,2,PS,141,85-89,,,,,,,17AUG18
ALABAMA,01,0102850,AL-188,Roanoke City,116,GE95,,,,,50,GE90,3,PS,,,63,GE95,,,,,,,17AUG18
ALABAMA,01,0102880,AL-057,Russell County,253,81,,,3,PS,119,85-89,5,PS,9,GE50,116,70-74,,,,,,,17AUG18
ALABAMA,01,0102910,AL-189,Russellville City,168,GE95,,,1,PS,9,GE50,63,GE95,,,92,90-94,,,,,,,17AUG18
ALABAMA,01,0102940,AL-190,Scottsboro City,191,85-89,,,3,PS,14,GE50,12,GE50,,,162,90-94,,,,,,,17AUG18
ALABAMA,01,0102970,AL-191,Selma City,231,84,,,,,231,80-84,,,,,,,,,,,,,17AUG18
ALABAMA,01,0103000,AL-192,Sheffield City,65,85-89,,,,,32,80-89,2,PS,1,PS,30,GE80,,,,,,,17AUG18
ALABAMA,01,0103030,AL-059,Shelby County,1420,94,,,23,GE80,236,90-94,81,90-94,15,GE50,1059,94,,,,,,,17AUG18
ALABAMA,01,0103062,AL-058,St Clair County,616,87,,,6,GE50,60,80-89,21,GE80,1,PS,526,87,,,,,,,17AUG18
ALABAMA,01,0103090,AL-060,Sumter County,139,75-79,,,,,138,75-79,,,,,1,PS,,,,,,,17AUG18
ALABAMA,01,0103120,AL-193,Sylacauga City,180,90-94,,,,,62,90-94,2,PS,1,PS,115,90-94,,,,,,,17AUG18
ALABAMA,01,0103150,AL-194,Talladega City,127,90-94,,,,,92,90-94,4,PS,1,PS,30,GE80,,,,,,,17AUG18
ALABAMA,01,0103180,AL-061,Talladega County,570,94,,,2,PS,211,90-94,9,GE50,4,PS,341,93,,,,,,,17AUG18
ALABAMA,01,0103210,AL-062,Tallapoosa County,248,90,,,,,73,85-89,3,PS,,,171,90-94,,,,,,,17AUG18
ALABAMA,01,0103240,AL-195,Tallassee City,138,80-84,,,2,PS,35,70-79,,,1,PS,100,80-84,,,,,,,17AUG18
ALABAMA,01,0103270,AL-197,Tarrant City,84,85-89,,,,,66,80-84,10,GE50,2,PS,5,PS,,,,,,,17AUG18
ALABAMA,01,0103300,AL-198,Thomasville City,125,90-94,,,,,61,90-94,1,PS,,,63,90-94,,,,,,,17AUG18
ALABAMA,01,0103330,AL-199,Troy City,128,90-94,,,3,PS,72,85-89,7,GE50,,,46,GE90,,,,,,,17AUG18
ALABAMA,01,0103360,AL-200,Tuscaloosa City,749,91,,,9,GE50,566,89,16,GE80,2,PS,155,GE95,,,,,,,17AUG18
ALABAMA,01,0103390,AL-063,Tuscaloosa County,1264,87,,,8,GE50,374,83,57,GE90,9,GE50,810,88,,,,,,,17AUG18
ALABAMA,01,0103420,AL-201,Tuscumbia City,117,90-94,,,2,PS,32,80-89,,,,,83,90-94,,,,,,,17AUG18
ALABAMA,01,0103430,AL-202,Vestavia Hills City,477,96,,,21,GE80,42,80-89,27,GE80,7,GE50,380,97,,,,,,,17AUG18
ALABAMA,01,0103450,AL-064,Walker County,586,91,,,2,PS,41,GE90,7,GE50,1,PS,535,91,,,,,,,17AUG18
ALABAMA,01,0103480,AL-065,Washington County,232,93,,,,,50,GE90,2,PS,1,PS,155,90-94,,,,,,,17AUG18
ALABAMA,01,0103510,AL-066,Wilcox County,143,80-84,,,,,141,80-84,,,1,PS,1,PS,,,,,,,17AUG18
ALABAMA,01,0103540,AL-204,Winfield City,99,GE95,,,,,2,PS,2,PS,,,95,GE95,,,,,,,17AUG18
ALABAMA,01,0103580,AL-067,Winston County,192,90-94,,,,,3,PS,1,PS,,,187,90-94,,,,,,,17AUG18
ALASKA,02,0200001,AK-31,Lower Kuskokwim School District,274,52,251,45-49,1,PS,2,PS,,,2,PS,18,60-79,39,30-39,229,45-49,107,30-34,17AUG18
ALASKA,02,0200003,AK-32,Lower Yukon School District,133,65-69,129,65-69,3,PS,,,,,,,1,PS,23,60-79,112,65-69,103,60-64,17AUG18
ALASKA,02,0200004,AK-54,Yupiit School District,29,40-59,28,40-59,,,,,1,PS,,,,,3,PS,2,PS,19,40-59,17AUG18
ALASKA,02,0200005,AK-55,Kashunamiut School District,27,60-79,27,60-79,,,,,,,,,,,1,PS,25,60-79,6,GE50,17AUG18
ALASKA,02,0200006,AK-98,Mount Edgecumbe High School Agency,103,GE95,84,GE95,4,PS,1,PS,,,,,14,GE50,3,PS,74,GE95,,,17AUG18
ALASKA,02,0200007,AK-56,Aleutians East Borough School District,18,GE80,11,GE50,1,PS,,,2,PS,,,4,PS,4,PS,10,GE50,,,17AUG18
ALASKA,02,0200010,AK-04,Aleutian Region School District,2,PS,,,2,PS,,,,,,,,,,,2,PS,,,17AUG18
ALASKA,02,0200020,AK-07,Bering Strait School District,101,85-89,101,85-89,,,,,,,,,,,9,GE50,95,85-89,35,70-79,17AUG18
ALASKA,02,0200030,AK-08,Bristol Bay Borough School District,10,GE50,7,GE50,,,,,,,,,3,PS,,,5,PS,,,17AUG18
ALASKA,02,0200050,AK-03,Alaska Gateway School District,25,21-39,15,LT50,,,,,,,,,10,LT50,2,PS,17,21-39,9,LT50,17AUG18
ALASKA,02,0200060,AK-12,Cordova City School District,25,60-79,7,GE50,1,PS,,,,,2,PS,15,GE50,3,PS,13,GE50,,,17AUG18
ALASKA,02,0200070,AK-11,Copper River School District,41,70-79,13,GE50,3,PS,,,,,3,PS,22,GE80,1,PS,16,40-59,,,17AUG18
ALASKA,02,0200090,AK-13,Craig City School District,45,60-69,12,GE50,3,PS,,,2,PS,2,PS,26,60-79,7,GE50,17,GE80,,,17AUG18
ALASKA,02,0200100,AK-14,Delta-Greely School District,58,70-79,3,PS,,,,,3,PS,1,PS,51,70-79,5,PS,17,40-59,1,PS,17AUG18
ALASKA,02,0200120,AK-15,Dillingham City School District,39,GE90,20,GE80,,,,,,,15,GE50,4,PS,4,PS,35,80-89,2,PS,17AUG18
ALASKA,02,0200130,AK-17,Galena City School District,382,79,88,75-79,7,GE50,12,GE50,9,GE50,9,LT50,257,80-84,22,60-79,206,75-79,10,GE50,17AUG18
ALASKA,02,0200150,AK-25,Ketchikan Gateway Borough School District,210,79,58,60-69,23,GE80,2,PS,9,GE50,7,GE50,111,80-84,20,40-59,61,55-59,2,PS,17AUG18
ALASKA,02,0200180,AK-05,Anchorage School District,3563,81,321,63,605,85,226,75-79,414,81,421,76,1576,86,489,56,1680,75,262,60-64,17AUG18
ALASKA,02,0200210,AK-22,Juneau Borough School District,372,86,73,70-74,37,GE90,7,GE50,18,GE80,37,80-89,200,85-89,44,60-69,111,65-69,11,GE50,17AUG18
ALASKA,02,0200240,AK-42,Sitka School District,105,75-79,18,60-79,14,GE50,1,PS,8,GE50,3,PS,61,80-84,8,GE50,40,60-69,3,PS,17AUG18
ALASKA,02,0200270,AK-18,Haines Borough School District,17,GE80,1,PS,1,PS,,,,,1,PS,14,GE50,1,PS,7,GE50,,,17AUG18
ALASKA,02,0200300,AK-19,Hoonah City School District,7,GE50,6,GE50,,,,,1,PS,,,,,1,PS,3,PS,,,17AUG18
ALASKA,02,0200330,AK-20,Hydaburg City School District,4,PS,1,PS,,,,,1,PS,2,PS,,,,,3,PS,,,17AUG18
ALASKA,02,0200360,AK-23,Kake City School District,7,GE50,6,GE50,,,,,,,,,1,PS,,,6,GE50,,,17AUG18
ALASKA,02,0200390,AK-24,Kenai Peninsula Borough School District,682,84,61,80-84,13,GE50,1,PS,40,80-89,62,85-89,505,84,86,70-74,238,75-79,7,GE50,17AUG18
ALASKA,02,0200450,AK-27,Klawock City School District,9,GE50,7,GE50,,,,,1,PS,,,1,PS,2,PS,8,GE50,,,17AUG18
ALASKA,02,0200480,AK-28,Kodiak Island Borough School District,200,90-94,37,70-79,62,90-94,1,PS,19,GE80,4,PS,77,90-94,15,GE50,102,85-89,10,GE50,17AUG18
ALASKA,02,0200485,AK-30,Lake and Peninsula Borough School District,20,GE80,14,GE50,,,2,PS,,,1,PS,3,PS,2,PS,13,GE50,,,17AUG18
ALASKA,02,0200510,AK-33,Matanuska-Susitna Borough School District,1338,81,185,75-79,51,80-89,23,60-79,42,80-89,51,80-89,986,82,138,55-59,374,75,21,40-59,17AUG18
ALASKA,02,0200520,AK-21,Iditarod Area School District,19,40-59,11,GE50,,,,,,,1,PS,7,LT50,2,PS,9,GE50,1,PS,17AUG18
ALASKA,02,0200525,AK-06,Annette Island School District,14,GE50,14,GE50,,,,,,,,,,,4,PS,13,GE50,,,17AUG18
ALASKA,02,0200540,AK-34,Nenana City School District,171,25-29,33,30-39,18,LE20,6,LT50,18,LE20,27,21-39,69,40-44,24,21-39,11,GE50,11,LT50,17AUG18
ALASKA,02,0200570,AK-35,Nome Public Schools,45,60-69,34,50-59,,,,,,,7,GE50,4,PS,6,GE50,20,60-79,2,PS,17AUG18
ALASKA,02,0200600,AK-16,Fairbanks North Star Borough School District,948,77,88,65-69,35,60-69,40,60-69,66,65-69,114,70-74,605,82,133,55-59,263,55-59,10,GE50,17AUG18
ALASKA,02,0200610,AK-36,North Slope Borough School District,111,75-79,83,75-79,14,GE50,,,,,7,GE50,7,GE50,12,GE50,49,70-79,23,GE80,17AUG18
ALASKA,02,0200625,AK-37,Northwest Arctic Borough School District,146,80-84,138,80-84,,,,,,,2,PS,6,GE50,16,GE80,105,80-84,34,70-79,17AUG18
ALASKA,02,0200630,AK-38,Pelican City School District,1,PS,,,,,,,,,,,1,PS,1,PS,1,PS,,,17AUG18
ALASKA,02,0200660,AK-39,Petersburg Borough School District,32,GE90,9,GE50,2,PS,,,2,PS,,,19,GE80,1,PS,14,GE50,1,PS,17AUG18
ALASKA,02,0200670,AK-40,Pribilof School District,4,PS,3,PS,,,,,,,,,1,PS,,,1,PS,,,17AUG18
ALASKA,02,0200680,AK-46,Saint Mary's School District,11,GE50,11,GE50,,,,,,,,,,,,,10,GE50,2,PS,17AUG18
ALASKA,02,0200690,AK-43,Skagway School District,11,GE50,1,PS,,,,,,,2,PS,8,GE50,2,PS,1,PS,,,17AUG18
ALASKA,02,0200700,AK-44,Southeast Island School District,11,GE50,1,PS,,,,,,,,,10,GE50,3,PS,7,GE50,1,PS,17AUG18
ALASKA,02,0200710,AK-45,Southwest Region School District,30,60-79,30,60-79,,,,,,,,,,,3,PS,30,60-79,12,GE50,17AUG18
ALASKA,02,0200715,AK-53,Tanana City School District,3,PS,3,PS,,,,,,,,,,,,,3,PS,,,17AUG18
ALASKA,02,0200720,AK-47,Unalaska City School District,31,GE90,6,GE50,16,GE80,,,3,PS,,,6,GE50,1,PS,5,PS,2,PS,17AUG18
ALASKA,02,0200730,AK-09,Chatham School District,8,GE50,3,PS,,,1,PS,,,,,4,PS,1,PS,2,PS,,,17AUG18
ALASKA,02,0200760,AK-29,Kuspuk School District,19,40-59,18,40-59,,,,,,,,,1,PS,5,PS,16,40-59,8,LT50,17AUG18
ALASKA,02,0200770,AK-02,Denali Borough School District,48,40-49,3,PS,1,PS,,,4,PS,4,PS,36,50-59,1,PS,5,PS,,,17AUG18
ALASKA,02,0200775,AK-51,Yukon Flats School District,11,GE50,11,GE50,,,,,,,,,,,5,PS,11,GE50,6,GE50,17AUG18
ALASKA,02,0200780,AK-48,Valdez City School District,55,80-89,5,PS,2,PS,,,1,PS,9,GE50,38,70-79,5,PS,14,GE50,2,PS,17AUG18
ALASKA,02,0200800,AK-10,Chugach School District,35,70-79,9,LT50,2,PS,1,PS,1,PS,3,PS,19,GE80,5,PS,18,60-79,,,17AUG18
ALASKA,02,0200810,AK-49,Wrangell Public School District,23,GE80,8,GE50,,,,,,,1,PS,14,GE50,1,PS,9,GE50,,,17AUG18
ALASKA,02,0200840,AK-50,Yakutat School District,8,GE50,5,PS,,,,,1,PS,,,2,PS,,,2,PS,1,PS,17AUG18
ALASKA,02,0200862,AK-52,Yukon-Koyukuk School District,176,50-54,58,50-59,2,PS,7,GE50,5,PS,6,LT50,98,55-59,22,40-59,103,50-54,2,PS,17AUG18
